       p         nwds        bytes        nloop         RTT (s)
       1            2           16         1000    2.805532e-06
       1            3           24         1000    2.999447e-06
       1            4           32         1000    2.996280e-06
       1            5           40         1000    3.007682e-06
       1            6           48         1000    3.012632e-06
       1            7           56         1000    3.550995e-06
       1            8           64         1000    3.579539e-06
       1            9           72         1000    3.572356e-06
       1           10           80         1000    3.571634e-06
       1           11           88         1000    3.597954e-06
       1           12           96         1000    3.620746e-06
       1           13          104         1000    3.679477e-06
       1           14          112         1000    3.676832e-06
       1           15          120         1000    3.650141e-06
       1           16          128         1000    3.625515e-06
       1           17          136         1000    3.640944e-06
       1           18          144         1000    3.648037e-06
       1           19          152         1000    3.684787e-06
       1           20          160         1000    3.720244e-06
       1           21          168         1000    3.788823e-06
       1           22          176         1000    3.779566e-06
       1           23          184         1000    5.167499e-06
       1           24          192         1000    5.202234e-06
       1           25          200         1000    5.185883e-06
       1           26          208         1000    5.201642e-06
       1           27          216         1000    5.166677e-06
       1           28          224         1000    5.258710e-06
       1           29          232         1000    5.274680e-06
       1           30          240         1000    5.245946e-06
       1           31          248         1000    5.258420e-06
       1           32          256         1000    5.253089e-06
       1           33          264         1000    5.312642e-06
       1           34          272         1000    5.550479e-06
       1           35          280         1000    5.258180e-06
       1           36          288         1000    5.319495e-06
       1           37          296         1000    5.414173e-06
       1           38          304         1000    5.305378e-06
       1           39          312         1000    5.339312e-06
       1           40          320         1000    5.351866e-06
       1           41          328         1000    5.463806e-06
       1           42          336         1000    5.448437e-06
       1           43          344         1000    5.363086e-06
       1           44          352         1000    5.377093e-06
       1           45          360         1000    5.466892e-06
       1           46          368         1000    5.421197e-06
       1           47          376         1000    5.431745e-06
       1           48          384         1000    5.461853e-06
       1           49          392         1000    5.424642e-06
       1           50          400         1000    5.403833e-06
       1           51          408         1000    5.439831e-06
       1           52          416         1000    5.502259e-06
       1           53          424         1000    5.542094e-06
       1           54          432         1000    5.512278e-06
       1           55          440         1000    5.502920e-06
       1           56          448         1000    5.500946e-06
       1           57          456         1000    5.497379e-06
       1           58          464         1000    5.507949e-06
       1           59          472         1000    5.522307e-06
       1           60          480         1000    5.547033e-06
       1           61          488         1000    5.623236e-06
       1           62          496         1000    5.624759e-06
       1           64          512         1000    5.598389e-06
       1           66          528         1000    5.617556e-06
       1           68          544         1000    5.580846e-06
       1           70          560         1000    5.645638e-06
       1           72          576         1000    5.635329e-06
       1           74          592         1000    5.752419e-06
       1           76          608         1000    6.128918e-06
       1           78          624         1000    5.773279e-06
       1           80          640         1000    5.788788e-06
       1           82          656         1000    5.831117e-06
       1           84          672         1000    5.784670e-06
       1           86          688         1000    6.001007e-06
       1           88          704         1000    5.901961e-06
       1           90          720         1000    5.943910e-06
       1           92          736         1000    5.958607e-06
       1           94          752         1000    5.949811e-06
       1           96          768         1000    5.956193e-06
       1           98          784         1000    5.983565e-06
       1          100          800          980    5.962981e-06
       1          102          816          961    6.041925e-06
       1          104          832          943    6.041352e-06
       1          106          848          925    6.116293e-06
       1          108          864          909    6.092394e-06
       1          110          880          892    6.104328e-06
       1          112          896          877    6.112019e-06
       1          114          912          862    6.152628e-06
       1          116          928          847    6.233318e-06
       1          118          944          833    6.235208e-06
       1          120          960          819    6.241542e-06
       1          122          976          806    6.288289e-06
       1          124          992          793    6.301750e-06
       1          127         1016          775    6.327680e-06
       1          130         1040          757    6.336978e-06
       1          133         1064          740    9.523008e-06
       1          136         1088          724    6.429686e-06
       1          139         1112          709    6.453137e-06
       1          142         1136          694    6.434824e-06
       1          145         1160          680    6.475131e-06
       1          148         1184          666    6.544467e-06
       1          151         1208          653    6.507965e-06
       1          154         1232          641    6.561323e-06
       1          157         1256          628    6.576600e-06
       1          160         1280          617    6.585964e-06
       1          163         1304          606    6.623574e-06
       1          166         1328          595    6.686706e-06
       1          169         1352          584    6.715863e-06
       1          172         1376          574    6.712566e-06
       1          175         1400          564    6.762695e-06
       1          178         1424          555    6.775640e-06
       1          181         1448          546    6.819009e-06
       1          184         1472          537    6.810326e-06
       1          187         1496          529    6.851216e-06
       1          191         1528          518    6.874060e-06
       1          195         1560          507    6.935779e-06
